Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
査,,サ,menyelidiki,"捜査【そうさ】pencarian (khususnya dalam investigasi kriminal), penyelidikan, pertanyaan","審査【しんさ】menghakimi, inspeksi, pemeriksaan, penyelidikan, ulasan","巡査【じゅんさ】petugas polisi, polisi",https://kanjikana.com/id/kanji/査?jlpt=2,184
村,むら,ソン,"desa, kota",漁村【ぎょそん】desa nelayan,"農村【のうそん】komunitas pertanian, desa pertanian, pedesaan",村【むら】desa,https://kanjikana.com/id/kanji/村?jlpt=2,253
軍,いくさ,グン,"tentara, kekuatan, pasukan, perang, pertempuran",軍艦【ぐんかん】kapal perang,軍服【ぐんぷく】seragam militer,軍事【ぐんじ】urusan militer,https://kanjikana.com/id/kanji/軍?jlpt=2,189
島,しま,トウ,pulau,"半島【はんとう】semenanjung, korea","列島【れっとう】kepulauan, rantai pulau-pulau","島【しま】pulau, wilayah kekuasaan, wilayah seseorang",https://kanjikana.com/id/kanji/島?jlpt=2,245
捜,さが.す,"ソウ, シュ, シュウ","cari, mencari, temukan","捜査【そうさ】pencarian (khususnya dalam investigasi kriminal), penyelidikan, pertanyaan","捜索【そうさく】pencarian (khususnya untuk seseorang atau sesuatu yang hilang), pemburuan manusia, pencarian yang sah secara hukum terhadap seseorang, bangunan, dll.",,https://kanjikana.com/id/kanji/捜?jlpt=2,592
兵,つわもの,"ヘイ, ヒョウ","prajurit, pribadi, pasukan, tentara, perang, strategi, taktik",兵士【へいし】prajurit,"兵器【へいき】lengan, senjata, persenjataan",,https://kanjikana.com/id/kanji/兵?jlpt=2,522
準,"じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり",ジュン,"semi-, sesuai dengan, sebanding dengan, patuhi, meniru","準ずる【じゅんずる】mengikuti (aturan, preseden, dll.), mematuhi (hukum, standar, dll.), berdasarkan, menerapkan secara bersesuaian, sebanding dengan, ...","標準【ひょうじゅん】standar, tingkat, norma","基準【きじゅん】standar, dasar, kriteria, norma, referensi, ...",https://kanjikana.com/id/kanji/準?jlpt=2,425
再,ふたた.び,"サイ, サ","lagi, dua kali, kedua kali","再会【さいかい】bertemu lagi, reuni","再生【さいせい】pemulihan kehidupan, bangkit kembali, resusitasi, regenerasi, reformasi, ...","再現【さいげん】muncul kembali, kembali, kebangkitan, reproduksi, pementasan kembali, ...",https://kanjikana.com/id/kanji/再?jlpt=2,275
設,もう.ける,セツ,"lembaga, ketentuan, persiapkan","施設【しせつ】lembaga, pembentukan, fasilitas, panti","設定【せってい】pembentukan, penciptaan, menimbulkan (masalah), latar (film, novel, dll.), pemandangan, ...","設置【せっち】pembentukan, lembaga, pemasangan",https://kanjikana.com/id/kanji/設?jlpt=2,145
協,,キョウ,"bersama-sama, kerja sama","協会【きょうかい】asosiasi, masyarakat, organisasi","協議【きょうぎ】konferensi, konsultasi, diskusi, negosiasi","協調【きょうちょう】kerja sama, rekonsiliasi, keselarasan, koordinasi",https://kanjikana.com/id/kanji/協?jlpt=2,121
団,"かたまり, まる.い","ダン, トン","kelompok, asosiasi","劇団【げきだん】kelompok, perusahaan teater","公団【こうだん】perusahaan publik, perumahan publik","団結【だんけつ】persatuan, solidaritas, kombinasi, bekerja sama",https://kanjikana.com/id/kanji/団?jlpt=2,213
技,わざ,ギ,"keterampilan, seni, kerajinan, kemampuan, fitur, kinerja, pekerjaan","技【わざ】teknik, seni, keterampilan, bergerak","技能【ぎのう】keterampilan teknis, kemampuan, kapasitas",特技【とくぎ】keahlian khusus,https://kanjikana.com/id/kanji/技?jlpt=2,434
領,えり,リョウ,"yurisdiksi, dominasi, wilayah, wilayah feodal, pemerintahan","領土【りょうど】kekuasaan, wilayah, kepemilikan",領海【りょうかい】perairan teritorial,"領地【りょうち】wilayah, kekuasaan, tanah (mis. sekolah)",https://kanjikana.com/id/kanji/領?jlpt=2,138
血,ち,ケツ,darah,"出血【しゅっけつ】pendarahan, perdarahan, kehilangan uang, tinta merah, menjual di bawah harga pokok","血管【けっかん】pembuluh darah, urat",血圧【けつあつ】tekanan darah,https://kanjikana.com/id/kanji/血?jlpt=2,832
線,すじ,セン,"garis, lintasan","無線【むせん】radio (komunikasi), nirkabel, tidak menggunakan kabel","幹線【かんせん】jalur utama, jalur induk","三味線【しゃみせん】samisen, lute Jepang tiga senar",https://kanjikana.com/id/kanji/線?jlpt=2,382
武,"たけ, たけ.し","ブ, ム","pejuang, militer, kesatriaan, lengan","武力【ぶりょく】kekuatan bersenjata, kekuatan militer, pedang, kekuatan","武装【ぶそう】lengan, persenjataan, mengambil senjata, membekali diri","武士【ぶし】samurai, pejuang",https://kanjikana.com/id/kanji/武?jlpt=2,387
介,,カイ,"macet di, kerang, menengahi, mengurusi","介護【かいご】keperawatan, perawatan, peduli",介入【かいにゅう】intervensi,"厄介【やっかい】masalah, beban, gangguan, ganggu, khawatir, ...",https://kanjikana.com/id/kanji/介?jlpt=2,617
勢,"いきお.い, はずみ","セイ, ゼイ","kekuatan, energi, kekuatan militer","情勢【じょうせい】keadaan saat ini, keadaan, situasi, kondisi","優勢【ゆうせい】keunggulan, kekuatan superior, dominasi, kelebihan besar","形勢【けいせい】kondisi, situasi, prospek",https://kanjikana.com/id/kanji/勢?jlpt=2,260
門,"かど, と",モン,"gerbang, penghitung untuk meriam","部門【ぶもん】pembagian (dari sebuah kelompok besar), cabang, lapangan, kelas (subkelas), kelompok, ...","正門【せいもん】gerbang utama, pintu masuk utama","門【もん】gerbang, cabang ilmu berdasarkan ajaran seorang guru besar, pembagian, filum, penghitung untuk meriam",https://kanjikana.com/id/kanji/門?jlpt=2,452
復,また,フク,"memulihkan, kembali ke, kembali, riwayat hidup","復興【ふっこう】kebangkitan, rekonstruksi, restorasi, membangun kembali, pemulihan, ...","復旧【ふっきゅう】restorasi, restitusi, rehabilitasi","往復【おうふく】membuat perjalanan pulang pergi, pergi dan kembali, datang dan pergi, tiket pulang-pergi, tiket pulang pergi, ...",https://kanjikana.com/id/kanji/復?jlpt=2,438
装,"よそお.う, よそお.い","ソウ, ショウ","pakaian, gaun, berpura-pura, penyamaran, mengaku","衣装【いしょう】pakaian, kostum, gaun","装飾【そうしょく】hiasan, dekorasi","舗装【ほそう】membangun jalan, pengaspalan (dengan aspal, beton, dll.), trotoar",https://kanjikana.com/id/kanji/装?jlpt=2,657
星,"ほし, -ぼし","セイ, ショウ","bintang, noda, titik, tanda","惑星【わくせい】planet, kuda hitam, kandidat mengejutkan","星座【せいざ】konstelasi, tanda zodiak",火星【かせい】mars (planet),https://kanjikana.com/id/kanji/星?jlpt=2,844
仲,なか,チュウ,"perantara, hubungan","仲人【なこうど】mak comblang, perantara, penengah","仲直り【なかなおり】rekonsiliasi, berdamai (dengan), menjadi teman lagi, mendamaikan pertengkaran","仲間【なかま】teman, rekan, kawan, mitra, rekan kerja, ...",https://kanjikana.com/id/kanji/仲?jlpt=2,919
移,"うつ.る, うつ.す",イ,"berganti, bergerak, perubahan, mengambang, tangkap (pilek, api), masuk ke dalam","移民【いみん】imigrasi, emigrasi, imigran, emigran","移動【いどう】gerakan, transfer, migrasi, penghapusan, perjalanan, ...","移す【うつす】mengubah, menukar, menggantikan, mentransfer, mengubah objek minat atau fokus seseorang, ...",https://kanjikana.com/id/kanji/移?jlpt=2,448
減,"へ.る, へ.らす",ゲン,"berkurang, penurunan, kurangi, menurun, membatasi, lapar","削減【さくげん】potong, pengurangan, pemotongan","減少【げんしょう】penurunan, pengurangan",軽減【けいげん】pengurangan,https://kanjikana.com/id/kanji/減?jlpt=2,261
丈,"たけ, だけ",ジョウ,"panjang, sepuluh shaku, ukur, Tn., Ny., tinggi, tinggi badan, semua (yang dimiliki), hanya, itu saja","丈【たけ】tinggi, postur, panjang (khususnya pakaian), semua (yang dimiliki), segalanya, ...","丈【だけ】hanya, sederhana, tidak lebih dari, tidak lain kecuali, sendiri, ...","頑丈【がんじょう】padat, tegas, teguh, kekar, kuat, ...",https://kanjikana.com/id/kanji/丈?jlpt=2,1375
況,"まし.て, いわ.んや, おもむき",キョウ,"kondisi, situasi","不況【ふきょう】depresi, resesi, lesu","好況【こうきょう】kondisi makmur, ekonomi yang sehat, ledakan","状況【じょうきょう】keadaan, situasi, kondisi",https://kanjikana.com/id/kanji/況?jlpt=2,490
造,"つく.る, つく.り, -づく.り",ゾウ,"membuat, struktur, fisik","荷造り【にづくり】pengemasan, lempar, membuat peti","偽造【ぎぞう】pemalsuan, pembuatan","創造【そうぞう】penciptaan, penciptaan (oleh Tuhan)",https://kanjikana.com/id/kanji/造?jlpt=2,429
爆,は.ぜる,バク,"bom, meledak, pop, membelah","爆弾【ばくだん】bom, alkohol dengan tambahan minuman keras (khususnya highball shōchū berbasis anggur, juga bir dengan wiski)","爆発【ばくはつ】ledakan, detonasi, meledak, letusan, ledakan (emosi), ...",,https://kanjikana.com/id/kanji/爆?jlpt=2,735
州,す,"シュウ, ス","negara, provinsi","州【しゅう】negara bagian, provinsi, kabupaten, wilayah (misalnya dari Italia), kanton, ...",州【す】beting pasir,,https://kanjikana.com/id/kanji/州?jlpt=2,386
了,,リョウ,"lengkap, selesai","了承【りょうしょう】pengakuan, pemahaman, persetujuan",修了【しゅうりょう】penyelesaian (kursus),"了【りょう】selesai, penyelesaian, akhir",https://kanjikana.com/id/kanji/了?jlpt=2,792
総,"す.べて, すべ.て, ふさ",ソウ,"umum, seluruh, semua, penuh, total",総会【そうかい】rapat umum,"総【そう】seluruh, jumlah, kotor, secara keseluruhan, umum","総理大臣【そうりだいじん】perdana menteri, perdana",https://kanjikana.com/id/kanji/総?jlpt=2,129
接,つ.ぐ,"セツ, ショウ","sentuh, kontak, berdampingan, menyusun kembali","接触【せっしょく】sentuh, kontak, menyentuh","接近【せっきん】semakin dekat, mendekat, mendekati, tidak jauh berbeda, berdekatan (usia, keterampilan, dll), ...","接する【せっする】menyentuh, berhubungan dengan, berbatasan dengan, berdampingan, bersebelahan, ...",https://kanjikana.com/id/kanji/接?jlpt=2,523
絡,"から.む, から.まる",ラク,"melilit, melilit sekitar, terjebak dalam","連絡【れんらく】menghubungi, membuat kontak, berhubungan, komunikasi, korespondensi, ...",,,https://kanjikana.com/id/kanji/絡?jlpt=2,806
防,ふせ.ぐ,ボウ,"menangkis, membela, melindungi, melawan",国防【こくぼう】pertahanan nasional,"堤防【ていぼう】bank, bendungan, tanggul","防衛【ぼうえい】pertahanan, perlindungan",https://kanjikana.com/id/kanji/防?jlpt=2,331
久,ひさ.しい,"キュウ, ク","waktu yang lama, cerita lama",久しい【ひさしい】lama,"久しぶり【ひさしぶり】sudah lama (sejak terakhir kali), pertama dalam waktu yang lama",,https://kanjikana.com/id/kanji/久?jlpt=2,688
谷,"たに, きわ.まる",コク,lembah,谷【たに】lembah,,,https://kanjikana.com/id/kanji/谷?jlpt=2,508
練,"ね.る, ね.り",レン,"latihan, kilap, kereta api, bor, polandia, menyempurnakan","練る【ねる】menguleni, mengentalkan menjadi pasta (dengan mengaduk di atas api), mengasah, menyempurnakan, menjelaskan lebih rinci, ...","未練【みれん】keterikatan yang berlarut-larut, kasih sayang yang berlarut-larut, penyesalan, keengganan","訓練【くんれん】pelatihan, bor, latihan, disiplin",https://kanjikana.com/id/kanji/練?jlpt=2,788
低,"ひく.い, ひく.める, ひく.まる",テイ,"lebih rendah, pendek, rendah hati","低下【ていか】musim gugur, penurunan, menurunkan, kerusakan, degradasi","最低【さいてい】paling sedikit, terendah, minimum, terburuk, mengerikan, ...","低い【ひくい】rendah, dekat dengan tanah, pendek, dalam (suara), dengan rendah hati",https://kanjikana.com/id/kanji/低?jlpt=2,435
帯,"お.びる, おび",タイ,"selendang, sabuk, obi, zona, wilayah","携帯【けいたい】membawa (pada diri seseorang atau di tangan), ponsel","世帯【せたい】rumah tangga, rumah, keluarga, pengurus rumah tangga","連帯【れんたい】solidaritas, persendian, kolektif",https://kanjikana.com/id/kanji/帯?jlpt=2,746
