Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
部,-べ,ブ,"bagian, biro, departemen, kelas, salin, porsi, penghitung jumlah eksemplar koran atau majalah","本部【ほんぶ】markas besar, kantor pusat","学部【がくぶ】departemen universitas, sarjana",部首【ぶしゅ】radikal (dari karakter kanji),https://kanjikana.com/id/kanji/部?jlpt=3,36
合,"あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","ゴウ, ガッ, カッ","sehat, jas, bergabung, 0,1","付き合う【つきあう】berkaitan dengan, menemani, pergi bersama dengan, berpacaran dengan, melanjutkan, ...",知り合い【しりあい】kenalan,"合流【ごうりゅう】pertemuan (sungai), bergabung (lalu lintas), konfluks, persimpangan, bergabung, ...",https://kanjikana.com/id/kanji/合?jlpt=3,46
最,"もっと.も, つま","サイ, シュ","sangat besar, paling, ekstrem","最高【さいこう】terbaik, tertinggi, luar biasa, maksimum, paling, ...","最も【もっとも】paling, sangat","最低【さいてい】paling sedikit, terendah, minimum, terburuk, mengerikan, ...",https://kanjikana.com/id/kanji/最?jlpt=3,39
当,"あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし",トウ,"pukulan, benar, tepat, dirinya","当たり前【あたりまえ】alamiah, wajar, jelas, biasa, umum, ...","日当たり【ひあたり】paparan sinar matahari, tempat yang cerah, per hari","心当たり【こころあたり】mempertimbangkan, sedang mengetahui tentang, ide",https://kanjikana.com/id/kanji/当?jlpt=3,37
全,"まった.く, すべ.て",ゼン,"seluruh, semua, lengkap, penuhi","全身【ぜんしん】seluruh (tubuh), penuh (mis. potret), sistemik","全般【ぜんぱん】seluruh, secara keseluruhan, secara umum","全集【ぜんしゅう】karya lengkap, koleksi lengkap, seri lengkap",https://kanjikana.com/id/kanji/全?jlpt=3,51
回,"まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える","カイ, エ","kali, bulat, permainan, berputar, penghitung kejadian","回転【かいてん】rotasi, revolusi, berbelok, putar, bekerja (mis. dari pikiran seseorang), ...","回数券【かいすうけん】kupon tiket, tiket diskon, buku tiket","回り道【まわりみち】jalan memutar, rute memutar, pengalihan",https://kanjikana.com/id/kanji/回?jlpt=3,82
戦,"いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く",セン,"perang, pertempuran, pertandingan","戦い【たたかい】pertempuran, perang, perkelahian, konflik, perjuangan (melawan waktu, kemiskinan, dll.), ...","戦う【たたかう】berperang (terhadap), berperang (melawan), berperang (dengan), bertarung (dengan), bertempur (melawan), ...","大戦【たいせん】perang besar, pertempuran hebat, perang dunia",https://kanjikana.com/id/kanji/戦?jlpt=3,79
実,"み, みの.る, まこと, みの, みち.る","ジツ, シツ","kenyataan, kebenaran, benih, buah, kacang","実力【じつりょく】kemampuan nyata, kekuatan sejati, jasa, efisiensi, kompetensi, ...","実績【じっせき】prestasi, hasil aktual, hasil masa lalu, rekam jejak","実用【じつよう】penggunaan praktis, utilitas",https://kanjikana.com/id/kanji/実?jlpt=3,91
性,さが,"セイ, ショウ","seks, jenis kelamin, alam","性能【せいのう】kemampuan, kinerja, efisiensi","酸性【さんせい】keasaman, asam","中性【ちゅうせい】kenetralan (termasuk kimia, listrik, dll.), ketidakpedulian, ketiadaan seksual, androgini, androgen, ...",https://kanjikana.com/id/kanji/性?jlpt=3,78
連,"つら.なる, つら.ねる, つ.れる, -づ.れ",レン,"bawa serta, timbal, bergabung, hubungkan, pesta, geng, klik","連合【れんごう】persatuan, kombinasi, aliansi, konfederasi, koalisi, ...","連続【れんぞく】kelanjutan, suksesi, serial","連れ【つれ】teman, perusahaan, tritagonis, karakter pendukung kedua",https://kanjikana.com/id/kanji/連?jlpt=3,30
