Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
結,"むす.ぶ, ゆ.う, ゆ.わえる","ケツ, ケチ","dasi, mengikat, kontrak, bergabung, mengatur, menata rambut, mengencangkan","結束【けっそく】persatuan, kesatuan, solidaritas, membundel, mengikat, ...","結核【けっかく】tuberkulosis, TB, konkresi","結び【むすび】akhir, kesimpulan, bergabung, persatuan, menghubungkan, ...",https://kanjikana.com/id/kanji/結?jlpt=1,162
張,"は.る, -は.り, -ば.り",チョウ,"memperpanjang, penghitung untuk busur & instrumen bertali, meregangkan, menyebar, mendirikan (tenda)","膨張【ぼうちょう】ekspansi, pembengkakan, meningkatkan, pertumbuhan","張り紙【はりがみ】kertas perbaikan, pelapis kertas, poster, stiker, label",誇張【こちょう】pembesaran,https://kanjikana.com/id/kanji/張?jlpt=1,403
保,たも.つ,"ホ, ホウ","melindungi, jaminan, menjaga, mempertahankan, dukungan","保護【ほご】perlindungan, melindungi, perwalian, penjagaan, bantuan, ...","確保【かくほ】mengamankan, mendapatkan, memastikan, jaminan, memelihara, ...","保つ【たもつ】menjaga, melestarikan, memegang, mempertahankan, memelihara, ...",https://kanjikana.com/id/kanji/保?jlpt=1,146
撃,う.つ,ゲキ,"mengalahkan, serangan, kekalahan, taklukkan","衝撃【しょうげき】dampak, kejutan, dorongan, syok psikologis","襲撃【しゅうげき】serangan mendadak, serangan, serbuan, tuduhan","反撃【はんげき】serangan balik, serangan balasan, pukulan balasan",https://kanjikana.com/id/kanji/撃?jlpt=1,473
証,あかし,ショウ,"bukti, sertifikat",証拠【しょうこ】bukti,"証言【しょうげん】kesaksian, bukti (lisan)","証【あかし】bukti, tanda, kesaksian, pembenaran, sertifikat, ...",https://kanjikana.com/id/kanji/証?jlpt=1,306
士,さむらい,シ,"pria sopan, cendekiawan, samurai, radikal samurai (no. 33)",兵士【へいし】prajurit,"同士【どうし】rekan, saling, teman, kawan","学士【がくし】lulusan universitas, sarjana, gelar sarjana",https://kanjikana.com/id/kanji/士?jlpt=1,526
第,,"ダイ, テイ","tidak., tempat tinggal",第【だい】awalan untuk membentuk bilangan urutan,"落第【らくだい】gagal, gagal naik kelas, tidak memenuhi standar","次第【しだい】tergantung pada, segera setelah, atas, seperti, apa saja, ...",https://kanjikana.com/id/kanji/第?jlpt=1,160
郎,おとこ,"ロウ, リョウ","anak laki-laki, penghitung untuk anak laki-laki","野郎【やろう】pria, rekan, teman, anjing, bajingan, ...","郎【ろう】putra kesekian, bahasa, gelar resmi dalam Tiongkok kuno, pria, pemuda, ...",女郎【じょろう】yūjo,https://kanjikana.com/id/kanji/郎?jlpt=1,569
応,"あた.る, まさに, こた.える","オウ, ヨウ, -ノウ","menerapkan, jawaban, ya, baik, balasan, terima","反応【はんのう】reaksi, tanggapan","対応【たいおう】korespondensi (ke), kesetaraan, kesesuaian, koordinasi, pencocokan, ...","応急【おうきゅう】darurat, pertolongan pertama",https://kanjikana.com/id/kanji/応?jlpt=1,266
護,まも.る,ゴ,melindungi,"保護【ほご】perlindungan, melindungi, perwalian, penjagaan, bantuan, ...","看護【かんご】keperawatan, perawat militer","介護【かいご】keperawatan, perawatan, peduli",https://kanjikana.com/id/kanji/護?jlpt=1,351
離,"はな.れる, はな.す",リ,"melepaskan, pemisahan, memisahkan, menyimpang","距離【きょり】jarak, jangkauan, interval, perbedaan (misalnya dalam pendapat), celah","分離【ぶんり】pemisahan, partisi, segregasi, isolasi","離れる【はなれる】terpisah, menjauh, pergi, mengundurkan diri, berhenti, ...",https://kanjikana.com/id/kanji/離?jlpt=1,555
藤,ふじ,"トウ, ドウ",wisteria,"藤【ふじ】wisteria (khususnya wisteria Jepang, Wisteria floribunda), wisteria","葛藤【かっとう】konflik, komplikasi, kesulitan, discord",,https://kanjikana.com/id/kanji/藤?jlpt=1,291
態,わざ.と,タイ,"sikap, kondisi, figur, penampilan, suara (dari kata kerja)","実態【じったい】keadaan sebenarnya, kondisi aktual, kenyataan","形態【けいたい】bentuk, figur, berubah bentuk","態勢【たいせい】sikap, postur, kesiapan",https://kanjikana.com/id/kanji/態?jlpt=1,353
検,しら.べる,ケン,"pemeriksaan, menyelidiki",検事【けんじ】jaksa penuntut umum,"探検【たんけん】eksplorasi, ekspedisi","点検【てんけん】inspeksi, ujian, memeriksa",https://kanjikana.com/id/kanji/検?jlpt=1,290
井,い,"セイ, ショウ","baik, baik ranjang bayi, kota, komunitas","天井【てんじょう】langit-langit, harga maksimum, plafon harga",井戸【いど】sumur air,筒井【つつい】sumur bulat,https://kanjikana.com/id/kanji/井?jlpt=1,339
我,"われ, わ, わ.が-, わが-",ガ,"aku, saya, egois, kami, diri sendiri","自我【じが】diri, ego",我々【われわれ】kami,"我慢【がまん】ketahanan, kesabaran, ketekunan, membawa (dengan sesuatu), pengendalian diri",https://kanjikana.com/id/kanji/我?jlpt=1,829
視,み.る,シ,"pemeriksaan, anggap sebagai, lihat","監視【かんし】pemantauan, menonton, pengamatan, pengawasan, menjaga, ...","視野【しや】bidang penglihatan, pemandangan, pandangan seseorang (mis. tentang kehidupan), cakrawala seseorang","視察【しさつ】inspeksi, pengamatan",https://kanjikana.com/id/kanji/視?jlpt=1,362
隊,,タイ,"resimen, pesta, perusahaan, tim","軍隊【ぐんたい】angkatan bersenjata, militer, pasukan",隊長【たいちょう】perwira komando,"部隊【ぶたい】kekuatan, satuan, korps, tim, pasukan, ...",https://kanjikana.com/id/kanji/隊?jlpt=1,605
統,"す.べる, ほび.る",トウ,"secara keseluruhan, hubungan, keputusan, memerintah","統合【とうごう】integrasi, unifikasi, kesatuan, kombinasi, konsolidasi, ...","統制【とうせい】peraturan, kontrol","統率【とうそつ】perintah, timbal, kepemimpinan militer, kepemimpinan",https://kanjikana.com/id/kanji/統?jlpt=1,125
義,,ギ,"kebenaran, keadilan, moralitas, kehormatan, kesetiaan, arti","正義【せいぎ】keadilan, benar, kebenaran, arti yang benar, penjelasan yang benar","義理【ぎり】tugas, rasa tanggung jawab, kehormatan, kesopanan, utang budi, ...",定義【ていぎ】definisi,https://kanjikana.com/id/kanji/義?jlpt=1,415
案,つくえ,アン,"rencana, saran, draf, memikirkan, takut, proposisi, ide, harapan, khawatir, meja, bangku","議案【ぎあん】ruu legislatif, ukur, poin agenda","案の定【あんのじょう】seperti satu pikiran, seperti biasa, memang benar","案じる【あんじる】cemas (tentang), khawatir (tentang), khawatir, takut, merancang, ...",https://kanjikana.com/id/kanji/案?jlpt=1,206
器,うつわ,キ,"peralatan, kapal, wadah, melaksanakan, instrumen, kemampuan, kontainer, alat, aturan","器【うつわ】mangkuk, kapal, kontainer, kemampuan, kapasitas, ...","兵器【へいき】lengan, senjata, persenjataan","陶器【とうき】porselen (khususnya porselen lunak), cina, barang pecah belah, tembikar, keramik, ...",https://kanjikana.com/id/kanji/器?jlpt=1,525
僕,しもべ,ボク,"saya, pelayan, pelayan pria","僕【しもべ】pelayan, pelayan pria, rendah","僕【ぼく】saya, kamu, pelayan pria","僕【やつがれ】Saya, saya",https://kanjikana.com/id/kanji/僕?jlpt=1,36
