Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
事,"こと, つか.う, つか.える","ジ, ズ","masalah, benda, fakta, bisnis, alasan, mungkin","事【こと】benda, materi, insiden, kejadian, acara, ...","事件【じけん】acara, urusan, insiden, kasus, alur, ...","食事【しょくじ】makanan, makan malam, diet",https://kanjikana.com/id/kanji/事?jlpt=4,20
会,"あ.う, あ.わせる, あつ.まる","カイ, エ","pertemuan, bertemu, pesta, asosiasi, wawancara, bergabung","出会う【であう】bertemu secara kebetulan, menemukan, berlari melintasi, bertemu, menemukan secara kebetulan, ...","大会【たいかい】rapat besar, konvensi, kumpul, konferensi, perakitan, ...","会【かい】rapat, perakitan, pesta, pertemuan, konferensi, ...",https://kanjikana.com/id/kanji/会?jlpt=4,31
自,"みずか.ら, おの.ずから, おの.ずと","ジ, シ",diri sendiri,"自然【しぜん】alam, alamiah, spontan, otomatis, secara alami, ...",自殺【じさつ】bunuh diri,"自慢【じまん】kebanggaan, membanggakan",https://kanjikana.com/id/kanji/自?jlpt=4,19
手,"て, て-, -て, た-","シュ, ズ",tangan,"相手【あいて】teman, mitra, perusahaan, pihak lain, penerima, ...","選手【せんしゅ】pemain, atlet, anggota tim","手術【しゅじゅつ】operasi, prosedur, keterampilan dengan tangan, kelincahan tangan",https://kanjikana.com/id/kanji/手?jlpt=4,16
言,"い.う, こと","ゲン, ゴン","katakan, kata","言わば【いわば】begitu bisa dikatakan, jadi untuk menyebutnya, seolah-olah","一言【ひとこと】kata tunggal, beberapa kata, komentar singkat",言語【げんご】bahasa,https://kanjikana.com/id/kanji/言?jlpt=4,83
者,もの,シャ,"seseorang, orang",患者【かんじゃ】pasien,者【もの】orang,"記者【きしゃ】wartawan, jurnalis",https://kanjikana.com/id/kanji/者?jlpt=4,38
同,おな.じ,ドウ,"sama, setuju","同僚【どうりょう】rekan kerja, asosiasi","同様【どうよう】sama, serupa, seperti","同時【どうじ】serentak, bersamaan, waktu yang sama, sinkron, bersama",https://kanjikana.com/id/kanji/同?jlpt=4,64
方,"かた, -かた, -がた",ホウ,"arah, orang, alternatif","方【ほう】arah, cara, sisi, daerah (dalam arah tertentu), pihak, ...","方法【ほうほう】metode, proses, cara, berarti, teknik","味方【みかた】teman, sekutu, pendukung, memihak (kepada), mendukung, ...",https://kanjikana.com/id/kanji/方?jlpt=4,57
目,"め, -め, ま-","モク, ボク","mata, kelas, melihat, wawasan, pengalaman, perawatan, bantuan","目的【もくてき】tujuan, obyektif, niat","目標【もくひょう】tujuan, sasaran, obyektif, tanda, tengara","注目【ちゅうもく】pemberitahuan, perhatian, pengamatan",https://kanjikana.com/id/kanji/目?jlpt=4,76
理,ことわり,リ,"logika, pengaturan, alasan, keadilan, kebenaran","理解【りかい】pemahaman, penghargaan, simpati","修理【しゅうり】memperbaiki, lebih baik, pelayanan","管理【かんり】kontrol, manajemen (misalnya dari sebuah bisnis)",https://kanjikana.com/id/kanji/理?jlpt=4,44
